arr24,real_value,mean_prediction,median_prediction,desc
513,,0.087643506914649,0.0875287759505989,dml-diag_calcium
033,,0.0319615016069165,0.0317873011935613,dml-diag_calcium
032,,0.0360545590980797,0.0375289512176905,dml-diag_calcium
031,,0.0556636736106353,0.0502913660604565,dml-diag_calcium
043,,0.0394243812466371,0.0403849326478325,dml-diag_calcium
044,,0.0539924802591515,0.0509907014106524,dml-diag_calcium
042,,0.18867999641228,0.166638142900031,dml-diag_calcium
041,,0.281959344141671,0.308434507040401,dml-diag_calcium
051,,0.124457885871176,0.126470279540476,dml-diag_calcium
052,,0.0495538641778285,0.0531982277839909,dml-diag_calcium
061,,0.107430652721866,0.115856439474211,dml-diag_calcium
062,,0.0912280684690655,0.0879909697172405,dml-diag_calcium
073,,0.0310577657242084,0.0344509879749265,dml-diag_calcium
071,,0.0477331935698091,0.0479575017790227,dml-diag_calcium
072,,0.0427592526475367,0.0432873115877262,dml-diag_calcium
082,,0.0296942313221269,0.0319992931165188,dml-diag_calcium
081,,0.103169189496533,0.099750301668335,dml-diag_calcium
084,,0.24748658157246,0.252361548407269,dml-diag_calcium
083,,0.101877500611088,0.106293721705121,dml-diag_calcium
093,,0.15440445111952,0.154011305152198,dml-diag_calcium
092,,0.0483168032392942,0.045118668325122,dml-diag_calcium
091,,0.0505967934078386,0.0489534819794284,dml-diag_calcium
101,,0.153643462145276,0.169313976459521,dml-diag_calcium
103,,0.0605662850555065,0.0613041144137508,dml-diag_calcium
102,,0.0626016305089332,0.0644762199991913,dml-diag_calcium
111,,0.0276476290396494,0.0253308409050333,dml-diag_calcium
112,,0.108566147463219,0.114660904798036,dml-diag_calcium
113,,0.139188606091525,0.162807066897232,dml-diag_calcium
121,,0.0231762483179543,0.0228095528482376,dml-diag_calcium
123,,0.0141294933385014,0.0130099498057116,dml-diag_calcium
122,,0.0385794062028991,0.0379880030957137,dml-diag_calcium
131,,0.114623912203512,0.120719779885132,dml-diag_calcium
133,,0.157748608102911,0.158521398001091,dml-diag_calcium
132,,0.101193821378837,0.112403718919157,dml-diag_calcium
134,,0.176809291628743,0.190400098553236,dml-diag_calcium
143,,0.0495621093344804,0.0527212668561238,dml-diag_calcium
142,,0.108940742562266,0.107538065016113,dml-diag_calcium
141,,0.0576187998141495,0.059465373839149,dml-diag_calcium
144,,0.0350938851361916,0.032175538981498,dml-diag_calcium
504,,0.0505350296886946,0.0466440103724994,dml-diag_calcium
153,,0.0878399281411307,0.0853827029466333,dml-diag_calcium
152,,0.374509136721886,0.419111909288047,dml-diag_calcium
151,,0.0234358669173429,0.0205048396490169,dml-diag_calcium
163,,0.0517548493420254,0.0479918430840786,dml-diag_calcium
161,,0.0533921720539854,0.0528944921300653,dml-diag_calcium
162,,0.0362649574646093,0.0371789125040345,dml-diag_calcium
171,,0.0225652132554498,0.0216537168445662,dml-diag_calcium
172,,0.0680461435826319,0.0650521678511168,dml-diag_calcium
173,,0.0399455313450016,0.0371870503055901,dml-diag_calcium
175,,0.0153791273157127,0.0163880788849809,dml-diag_calcium
174,,0.0237936526679792,0.024153252051622,dml-diag_calcium
181,,0.0590734822290218,0.0563741981977053,dml-diag_calcium
182,,0.241691899023867,0.287116297162532,dml-diag_calcium
183,,0.093886044452234,0.095027720327105,dml-diag_calcium
192,,0.0448508982391979,0.0496734637197552,dml-diag_calcium
193,,0.0423981888761225,0.0430515503884802,dml-diag_calcium
191,,0.0396733957915477,0.0409464342147728,dml-diag_calcium
211,,0.038847083878846,0.039175505166951,dml-diag_calcium
212,,0.0582489107256295,0.0578640406181065,dml-diag_calcium
213,,0.0322139863659911,0.0273757259543956,dml-diag_calcium
224,,0.0856993552167319,0.0880754626560537,dml-diag_calcium
221,,0.0506677626916736,0.0420311639390479,dml-diag_calcium
222,,0.0454621089319181,0.0378868506642862,dml-diag_calcium
